排序号,事件 ID,开始时间（秒）,结束时间（秒）,时长（秒）,关联台词 ID,事件类型,原文,实际朗读文本,角色,音色 ID,情绪,素材 ID,素材名称,增益 dB,空间处理方式,起点方位,起点坐标,终点坐标,完整轨迹 JSON
1,fx0,0.0,3.0,3.0,s0,环境声,雨已经下了三个小时。,,,,,rain,雨声（合成）,0.0,双耳空间定位,左、上、前,"[-4.0, 1.0, 3.0]","[4.0, 1.0, 3.0]","[{""t"":0.0,""x"":-4.0,""y"":1.0,""z"":3.0,""absolute_time"":0.0},{""t"":3.0,""x"":4.0,""y"":1.0,""z"":3.0,""absolute_time"":3.0}]"
2,s0,3.12,5.291104166666667,2.171104166666667,,人声,雨已经下了三个小时。,雨已经下了三个小时。,旁白,Chinese (Mandarin)_Reliable_Executive,calm,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":3.12}]"
3,s1,5.491104166666667,11.291104166666667,5.8,,人声,旧档案馆的门厅里只亮着一盏灯，光落在积水上，像一张被揉皱的纸。,旧档案馆的门厅里只亮着一盏灯，光落在积水上，像一张被揉皱的纸。,旁白,Chinese (Mandarin)_Reliable_Executive,calm,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":5.491104166666667}]"
4,s2,11.491104166666666,15.624270833333334,4.133166666666667,,人声,林舟站在走廊左侧，手里攥着管理员留下的钥匙。,林舟站在走廊左侧，手里攥着管理员留下的钥匙。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":11.491104166666666}]"
5,s3,15.824270833333333,19.82975,4.0054791666666665,,人声,"右边的许宁把手电压低，照向通往二楼的木梯。
",右边的许宁把手电压低，照向通往二楼的木梯。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":15.824270833333333}]"
6,s4,20.02975,23.22975,3.2,,人声,“你确定录音是从这里传出来的？”,你确定录音是从这里传出来的？,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":20.02975}]"
7,s5,23.42975,24.404999999999998,0.97525,,人声,"许宁问。
",许宁问。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":23.42975}]"
8,s6,24.604999999999997,25.916937499999996,1.3119375,,人声,林舟点了点头。,林舟点了点头。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":24.604999999999997}]"
9,s7,26.116937499999995,32.641749999999995,6.5248125,,人声,“每天夜里十一点十七分，都是同一句话。可档案馆停电已经一个星期了。”,每天夜里十一点十七分，都是同一句话。可档案馆停电已经一个星期了。,林舟,Chinese (Mandarin)_Warm_Bestie,fearful,,,-3.0,双耳空间定位,左、前,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":26.116937499999995}]"
10,s9,32.84175,37.230354166666665,4.388604166666667,,人声,远处街道传来汽车低沉的引擎声，很快又被雨声吞没。,远处街道传来汽车低沉的引擎声，很快又被雨声吞没。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":32.84175}]"
11,fx1,32.84175,36.84175,4.0,s9,环境声,远处街道传来汽车低沉的引擎声，很快又被雨声吞没。,,,,,engine,远处引擎（合成）,-12.0,双耳空间定位,左、后,"[-6.0, 0.0, -4.0]","[6.0, 0.0, -4.0]","[{""t"":0.0,""x"":-6.0,""y"":0.0,""z"":-4.0,""absolute_time"":32.84175},{""t"":2.0,""x"":0.0,""y"":0.0,""z"":-3.0,""absolute_time"":34.84175},{""t"":4.0,""x"":6.0,""y"":0.0,""z"":-4.0,""absolute_time"":36.84175}]"
12,s10,37.43035416666667,39.830354166666666,2.4,,人声,两个人没有再说话。,两个人没有再说话。,旁白,Chinese (Mandarin)_Reliable_Executive,calm,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":37.43035416666667}]"
